ID,DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,Latitude,Longitude,PREP_TIME
246,CHOP'T,Manhattan,EAST   23 STREET,10010,6467557837,Salads,40.74105336,-73.98844498,0
247,CHOP'T,Manhattan,EAST   17 STREET,10003,6463365523,Salads,40.73735364,-73.990903,3
248,CHOP'T,Manhattan,PINE STREET,10005,9173384803,Salads,40.70588502,-74.0071811,3
249,"CIAO, GLORIA",Brooklyn,VANDERBILT AVENUE,11238,7166662426,American,40.68030222,-73.96792285,4
250,CICCIO,Manhattan,6 AVENUE,10013,6464769498,Italian,40.72640782,-74.00365119,3
251,CINNABON,Bronx,BARTOW AVENUE,10475,7863690471,Bakery Products/Desserts,40.86941989,-73.82573843,4
252,CINNABON,Brooklyn,KINGS PLAZA MALL,11234,7182520595,Bakery Products/Desserts,40.61011256,-73.92200048,4
253,CINNABON,Queens,QUEENS BOULEVARD,11373,7185927172,Bakery Products/Desserts,40.73384018,-73.87157703,2
254,CINNABON,Queens,QUEENS BLVD,11373,7863690471,Bakery Products/Desserts,40.73384018,-73.87157703,2
255,CIPRIANI,Manhattan,WALL STREET,10005,6467230812,American,40.70618406,-74.00916487,1
256,CIRCO PASTRY SHOP,Brooklyn,KNICKERBOCKER AVENUE,11237,7183817199,Bakery Products/Desserts,40.70158046,-73.92325272,3
257,CITY PIZZA,Manhattan,9 AVENUE,10036,6463603231,Pizza,40.7598772,-73.99158576,2
258,CITY SANDWICH,Manhattan,9 AVENUE,10036,6466843943,Sandwiches/Salads/Mixed Buffet,40.76061001,-73.99105142,2
259,CLAW DADDY'S,Manhattan,ORCHARD STREET,10002,6465906816,Seafood,40.72198271,-73.98825348,1
260,CLAY POT,Manhattan,BLEECKER STREET,10014,9177756159,Chinese,40.73140605,-74.00312106,0
261,CMOLOVAR,Brooklyn,AVENUE U,11223,7187870120,Russian,40.5981274,-73.96281674,2
262,COCINA MARAVILLA,Bronx,EAST  138 STREET,10454,7189752146,Mexican,40.80709926,-73.91815285,1
263,COCO THAI,Brooklyn,PROSPECT PARK WEST,11215,7183692472,Thai,40.65845688,-73.9820871,1
264,CONWAY BISTRO,Queens,ROOSEVELT AVE,11354,7183218686,Chinese,40.75977791,-73.82923543,3
265,CORATO 1,Queens,FRESH POND RD,11385,7184976177,Pizza,40.70588258,-73.89664774,3
266,CORATO PIZZA II,Queens,MYRTLE AVENUE,11385,7183810915,Pizza,40.70075937,-73.89502918,0
267,CORAZON LATINO,Queens,84 DRIVE,11435,7182628661,Spanish,40.70909531,-73.81824551,2
268,CORONA PIZZA,Queens,108 STREET,11368,7182713736,Pizza,40.74374845,-73.85515929,2
269,CRAB BROS,Brooklyn,WASHINGTON AVENUE,11238,6463347923,Other,40.67484419,-73.96320281,0
270,CRAB BROS,Brooklyn,MALCOLM X BOULEVARD,11221,9179665839,Seafood,40.68556603,-73.92959197,0
271,CRAFT + CARRY,Manhattan,SAINT MARKS PLACE,10009,9172658078,Other,40.72728517,-73.9845977,0
272,Crazy Dogs,Manhattan,WEST   14 STREET,10014,6465257202,Hotdogs,40.74041708,-74.00409582,1
273,CRIF DOGS,Brooklyn,DRIGGS AVENUE,11211,7183023200,American,40.71690276,-73.95655636,1
274,CRIF DOGS,Manhattan,SAINT MARKS PLACE,10009,6469228524,Hotdogs,40.72729615,-73.98457966,3
275,CRISP,Manhattan,WEST   40 STREET,10018,6468974775,Mediterranean,40.7538107,-73.98569601,2
276,CROSBY PIZZA,Bronx,CROSBY AVENUE,10461,7188238980,Other,40.84591715,-73.83155799,0
277,CROWN GRILL & PIZZA & SALAD,Brooklyn,KINGSTON AVENUE,11213,6462884496,Chicken,40.67580138,-73.94160385,3
278,CROWN GRILL AND SALAD,Brooklyn,GRAND STREET,11211,7183845900,Chicken,40.71188127,-73.9413088,3
279,CROWN PIZZA,Brooklyn,KINGSTON AVENUE,11225,7184844817,Pizza,40.66464163,-73.94263014,4
280,D HACK'S HALAL,Queens,LIBERTY AVE,11417,7186842162,Caribbean,40.68365572,-73.83386958,2
281,DA CAPO,Manhattan,MADISON AVENUE,10029,6467070684,Coffee/Tea,40.78762321,-73.95388467,2
282,DA CAPO,Manhattan,EAST   70 STREET,10021,9175268112,Coffee/Tea,40.76670958,-73.95750207,3
283,DA NONNA ROSA,Brooklyn,7 AVENUE,11215,7187886225,Greek,40.67280835,-73.97665774,0
284,DA VINCI PIZZA,Brooklyn,18 AVENUE,11204,7182325855,Pizza,40.61897968,-73.99034286,2
285,DAILY G INC.,Queens,UNION ST,11354,6463218756,Chinese,40.76655762,-73.82749958,4
286,DAILY GOODS,Manhattan,9 AVENUE,10011,7327444193,"Juice, Smoothies, Fruit Salads",40.74186904,-74.00471301,1
287,DAILY PROVISIONS,Manhattan,AMSTERDAM AVENUE,10024,7187447001,American,40.78236335,-73.97887963,4
288,DALLAS BBQ,Bronx,BARTOW AVENUE,10475,7183208800,American,40.86941989,-73.82573843,0
289,DALLAS BBQ,Bronx,WEST FORDHAM ROAD,10468,7182202822,Barbecue,40.86175617,-73.91196829,1
290,DALLAS BBQ,Brooklyn,NOSTRAND AVENUE,11210,7189423000,Barbecue,40.63259598,-73.9476765,1
291,DALLAS BBQ,Brooklyn,LIVINGSTON STREET,11201,7186435700,Barbecue,40.69004441,-73.9868384,3
292,DAN AND JOHNS LLC,Brooklyn,ALBEE SQUARE,11201,6464684675,Other,40.69082623,-73.98345225,4
293,DAN AND JOHN'S WINGS,Manhattan,3 AVENUE,10016,6465594663,Chicken,40.74348127,-73.97974368,3
294,DANA PANI,Queens,LIBERTY AVE,11419,9175750188,Indian,40.69166087,-73.81167979,0
295,DANDY LION,Brooklyn,3 AVENUE,11209,7182382200,American,40.6213087,-74.03192982,3
296,DANGOL,Queens,NORTHERN BLVD,11358,7183534006,Korean,40.76276711,-73.80520399,4
297,DARLING'S,Brooklyn,HIMROD STREET,11237,9176280887,American,40.70015081,-73.91978495,4
298,DARO'S PIZZA,Queens,KISSENA BOULEVARD,11355,7184455573,Pizza,40.75337736,-73.82217032,5
299,DAWA'S,Queens,SKILLMAN AVE,11377,7188998629,Coffee/Tea,40.7459366,-73.91270658,5
300,DBSK,Queens,FARRINGTON ST,11354,7188866878,Korean,40.76630156,-73.83252185,4
301,DI FARA,Brooklyn,NORTH    3 STREET,11249,6462079363,Pizza,40.71679218,-73.96207571,2
302,DI FARINA,Brooklyn,CROPSEY AVENUE,11214,7187451111,Pizza,40.58619849,-73.98816225,3
303,DIA,Manhattan,2 AVENUE,10003,9176757664,Italian,40.72576789,-73.9897176,2
304,DIAMOND DOGS,Queens,31ST AVE,11106,9295220061,American,40.76311929,-73.9209434,3
305,DIAMOND LIL,Brooklyn,NASSAU AVENUE,11222,9177538273,American,40.72534394,-73.94604481,4
306,DIAMOND'S TRATTORIA,Manhattan,9 AVENUE,10036,6466091702,Italian,40.75982231,-73.99162547,4
307,DIG INN,Manhattan,1 AVENUE,10021,6469052184,American,40.76697823,-73.9566066,2
308,DIG INN,Manhattan,4 AVENUE,10003,6469055999,American,40.73320622,-73.98992573,0
309,DIG INN,Manhattan,BROADWAY,10012,6469052751,American,40.72814518,-73.99448339,0
310,DINO,Brooklyn,DEKALB AVENUE,11205,7182221999,Italian,40.68950614,-73.97049301,3
311,DIONYSOS,Queens,31ST ST,11105,7189323231,Greek,40.77395011,-73.91334487,2
312,DIPPIN' DOTS,Bronx,SOUTHERN BOULEVARD,10460,7187418170,American,40.85055596,-73.88245143,3
313,DIPPIN DOTS AND DOC POPCORN,Manhattan,EAST   23 STREET,10010,9146564534,American,40.74073489,-73.98769804,2
314,DIPPIN'DOTS,Bronx,SOUTHERN BOULEVARD,10460,7187418295,Frozen Desserts,40.85055596,-73.88245143,1
315,DIVINO'S,Queens,CROSSBAY BLVD,11414,7187382005,Italian,40.650529,-73.83774717,3
316,DIWAN GRILL,Brooklyn,FRANKLIN AVENUE,11238,7182307852,Indian,40.67530837,-73.95630236,1
317,DOMA,Queens,41ST ST,11104,7187070615,Korean,40.74472263,-73.92311982,3
318,DOMINICAN FLAVORS,Bronx,BRUCKNER BOULEVARD,10454,9292659909,Spanish,40.80378231,-73.92021945,2
319,DOMINOS,Brooklyn,NOSTRAND AVENUE,11225,7187780110,Pizza,40.66556772,-73.95091269,4
320,DOMINOS,Brooklyn,4 AVENUE,11232,7186333733,Pizza,40.65253213,-74.00624193,5
321,DOMINOS,Brooklyn,4 AVENUE,11209,7187487879,Pizza,40.61899814,-74.02989354,4
322,DOMINOS,Queens,QUEENS BLVD,11377,7188983890,Pizza,40.74122092,-73.9022692,2
323,DOMINOS,Queens,STEINWAY ST,11103,7185453030,Pizza,40.76753734,-73.91201028,4
324,DOMINO'S,Bronx,NEREID AVENUE,10470,7188824393,Pizza,40.89862846,-73.85479155,4
325,DOMINO'S,Bronx,WHITE PLAINS ROAD,10467,7186534618,Pizza,40.88526216,-73.86188398,1
326,DOMINO'S,Bronx,WESTCHESTER AVENUE,10472,7188931777,Pizza,40.82837754,-73.88154766,2
327,DOMINO'S,Bronx,SOUTHERN BOULEVARD,10459,9292070202,Pizza,40.82147627,-73.89166575,1
328,DOMINO'S,Bronx,JEROME AVENUE,10453,7183653599,Pizza,40.85444834,-73.90677259,1
329,DOMINO'S,Bronx,WEBSTER AVENUE,10456,7185374700,Pizza,40.83525536,-73.90795963,4
330,DOMINO'S,Brooklyn,PITKIN AVENUE,11212,6317474517,Pizza,40.67003474,-73.90828223,4
331,DOMINO'S,Brooklyn,CORTELYOU ROAD,11218,7186920900,Pizza,40.64012932,-73.96681083,4
332,DOMINO'S,Manhattan,3 AVENUE,10029,9143373370,Pizza,40.79379952,-73.94303486,4
333,DOMINO'S,Queens,S CONDUIT AVE,11422,7187178877,Pizza,40.6653413,-73.7306547,5
334,DOMINO'S,Queens,CROSSBAY BLVD,11417,7187382424,Pizza,40.66997711,-73.84262749,2
335,DOMINO'S,Queens,QUEENS BLVD,11435,7187393334,Pizza,40.70746092,-73.81746008,5
336,DOMINO'S,Queens,NORTHERN BLVD,11354,7184616500,Pizza,40.76535018,-73.81703005,1
337,DOMINO'S (#3321),Bronx,EAST  161 STREET,10451,9176883778,Pizza,40.82609703,-73.92013117,5
338,DOMO TACO,Brooklyn,FRANKLIN AVENUE,11238,7184844485,Tex-Mex,40.67362056,-73.95688748,4
339,DOMY PIZZA,Bronx,DAWSON STREET,10455,6462757064,Pizza,40.81644364,-73.90221611,4
340,DON NICO'S,Queens,161ST ST,11432,7182976426,Mexican,40.70518805,-73.79927388,3
341,DON POLLO,Queens,95TH AVE,11416,7186470007,Peruvian,40.68424467,-73.85745961,1
342,DON POLLO,Queens,BROADWAY,11106,9177450607,Peruvian,40.76266483,-73.92684968,4
343,DONG HAI,Brooklyn,7 AVENUE,11220,6462500676,Chinese,40.64226117,-74.00611124,3
344,DOS TOROS,Manhattan,BROADWAY,10025,9177810226,Mexican,40.80644515,-73.96504788,5
345,DRAGON CITY,Bronx,BARTOW AVENUE,10475,7186718787,Chinese,40.8694005,-73.82562278,2
346,DRAM SHOP,Brooklyn,9 STREET,11215,7187881444,American,40.66863771,-73.98519526,3
347,DYNACO,Brooklyn,BEDFORD AVENUE,11216,9173098727,American,40.68667931,-73.95458576,1
348,FABBRICA,Brooklyn,NORTH    6 STREET,11249,7182187045,Italian,40.71994884,-73.96262225,1
349,FALAFAMANIA,Brooklyn,12 AVENUE,11219,9178031423,Jewish/Kosher,40.63960677,-73.99091998,4
350,Falafamania,Brooklyn,12 AVENUE,11219,9178031423,Other,40.63960677,-73.99091998,0
351,FAMILY PIZZA,Bronx,BAYCHESTER AVENUE,10469,7184844970,Pizza,40.87917828,-73.83758482,4
352,FAMILY PIZZA,Brooklyn,FLATBUSH AVENUE,11225,7184620639,Pizza,40.65579158,-73.95991204,4
353,FARMSTAND BOOTH 8,Manhattan,PARK AVENUE,10169,6095400403,Salads,40.75450075,-73.97595043,1
354,FARRA,Manhattan,WORTH STREET,10013,9175762242,Scandinavian,40.71680929,-74.00566357,3
355,FAT CHOY,Manhattan,BROOME STREET,10002,7033472472,Vegan,40.7180002,-73.9898126,3
356,FAYROOZ,Queens,STEINWAY STREET,11103,7182047667,Middle Eastern,40.76523318,-73.91390859,2
357,Fiamma 41,Queens,41ST AVE,11361,7182255700,Italian,40.76366628,-73.77045577,3
358,FIASCO,Bronx,ARTHUR AVENUE,10458,7186180806,Pizza,40.85504363,-73.88797788,1
359,FIFTYLAN,Manhattan,BLEECKER STREET,10012,6464550655,Coffee/Tea,40.72924047,-74.00133859,4
360,FILIPINO BBQ #31,Queens,45TH AVE,11373,9294132645,Asian/Asian Fusion,40.74161711,-73.88276707,1
361,FINO,Queens,BELL BOULEVARD,11361,7182291330,Mediterranean,40.76506869,-73.77175052,3
362,FIRST HAND FOOD,Queens,ROOSEVELT AVE,11354,9174466813,Chinese,40.76073281,-73.82540301,1
363,FIRST OASIS,Brooklyn,4 AVENUE,11209,7182384505,Mediterranean,40.6181252,-74.03027136,1
364,FITOOR,Queens,UNION TPKE,11366,7189697000,American,40.72681385,-73.7884244,3
365,FITRITION,Queens,FRANCIS LEWIS BLVD,11358,9172852082,"Juice, Smoothies, Fruit Salads",40.76796277,-73.79105856,1
366,FITRITION,Queens,ASTORIA BLVD,11102,6462830401,"Juice, Smoothies, Fruit Salads",40.77073849,-73.92058051,3
367,FLAMIN PIZZA AND WINGS CORP,Brooklyn,BROADWAY,11207,7186848899,Chicken,40.68550401,-73.91502872,3
368,FLAT TOP,Manhattan,AMSTERDAM AVENUE,10027,6468207735,American,40.81009079,-73.9586447,4
369,FLAVA II,Brooklyn,NEW LOTS AVENUE,11207,7186490016,Caribbean,40.66124224,-73.89440317,5
370,FLAVOR KING,Queens,BRADDOCK AVE,11426,7183437100,Caribbean,40.72736959,-73.73135192,3
371,FLORA BAR,Manhattan,MADISON AVENUE,10021,6317038780,American,40.77345024,-73.96419876,5
372,FLORIAN AT LIRR HSF,Queens,183RD ST,11423,7185584788,American,40.70617724,-73.77613324,2
373,FLORIAN AT LIRR JCC,Queens,SUTPHIN BLVD,11435,7185587610,American,40.70008592,-73.80751927,2
374,"FLOYD, NY",Brooklyn,ATLANTIC AVENUE,11201,7188585810,American,40.69060227,-73.99566204,1
375,FONDA,Brooklyn,7 AVENUE,11215,7183693144,Mexican,40.66352957,-73.9843926,0
376,FOOD LIN,Brooklyn,5 AVENUE,11215,7187681188,Chinese,40.6705069,-73.98517682,5
377,FOOD STATION,Manhattan,CANAL STREET,10013,6466092115,Chinese,40.71818181,-74.00021284,3
378,FOR ALL THINGS GOOD,Brooklyn,FRANKLIN AVENUE,11238,6469246274,Mexican,40.68761345,-73.95695412,4
379,FORMA PASTA FACTORY,Brooklyn,BEDFORD AVENUE,11222,7183492009,Italian,40.72368302,-73.95143613,2
380,FORNINO,Brooklyn,MANHATTAN AVENUE,11222,7183846004,Pizza,40.7290857,-73.95378823,4
381,FORSYTHIA,Manhattan,STANTON STREET,10002,6464505406,Italian,40.72261436,-73.99243468,3
382,FRANKLIN 820,Brooklyn,FRANKLIN AVENUE,11225,7187084113,American,40.66987445,-73.95826695,4
383,FRANK'S,Brooklyn,COURT STREET,11231,7182540327,American,40.6772298,-73.99835602,1
384,FRANKS PIZZA,Brooklyn,FLATLANDS AVENUE,11236,7182518095,Pizza,40.63566829,-73.91303873,2
385,FRANK'S PIZZA,Bronx,EAST TREMONT AVENUE,10465,7188248070,Pizza,40.81875497,-73.81707414,4
386,FRIDA TACOS,Bronx,MOSHOLU AVENUE,10471,9176012211,Mexican,40.90541021,-73.89774353,5
387,GABY'S PIZZA,Queens,HILLSIDE AVENUE,11423,7187409716,Pizza,40.72042481,-73.76089006,3
388,GAN-HOO BBQ,Queens,MAIN ST,11354,9293848888,Barbecue,40.76141376,-73.83106861,2
389,GARY AND GINO'S,Bronx,JEROME AVENUE,10467,7185156826,Pizza,40.88673808,-73.87822808,1
390,GG'S FISH AND CHIPS,Brooklyn,HOYT STREET,11217,7187023407,Soul Food,40.68312791,-73.99013163,4
391,GIANDO,Brooklyn,KENT AVENUE,11249,7183877000,Italian,40.71033295,-73.96853236,1
392,GIARDINI PIZZA,Brooklyn,SMITH STREET,11231,7185965320,Pizza,40.67952161,-73.99533108,1
393,GIGI'S PIZZA & PASTA,Bronx,EASTCHESTER ROAD,10461,7186844918,Pizza,40.85385252,-73.84343787,1
394,GINO SORBILLO,Manhattan,BOWERY,10012,6467608049,Pizza,40.72588335,-73.99198693,0
395,GINO'S PIZZA,Queens,BROADWAY,11373,7186728515,Italian,40.73757925,-73.87722793,2
396,GINO'S PIZZA,Brooklyn,FLATBUSH AVENUE,11217,7182303932,Pizza,40.68108906,-73.97531721,2
397,GINO'S PIZZA,Queens,KISSENA BOULEVARD,11367,7189394474,Pizza,40.73695455,-73.81468343,3
398,GINO'S PIZZA,Queens,PARSONS BLVD,11354,7188863411,Pizza,40.77601689,-73.82442402,5
399,GIOVANNI'S,Bronx,EAST  167 STREET,10452,7185382054,Pizza,40.8352506,-73.91993222,3
400,GLORIA PIZZA,Queens,QUEENS BOULEVARD,11375,7182631100,Pizza,40.72111591,-73.84326026,5
401,GLOW,Manhattan,AVENUE OF THE AMERICAS,10011,9177330131,Vegan,40.73917095,-73.99550009,0
402,GONG CHA,Queens,JUNCTION BLVD,11374,7182717372,Coffee/Tea,40.73342817,-73.86417003,1
403,GONGCHA,Manhattan,SAINT MARK'S PLACE,10003,9179296819,Coffee/Tea,40.72892699,-73.98843626,3
404,GOOD JOY,Brooklyn,DEKALB AVENUE,11205,7188588899,Chinese,40.68951168,-73.97070575,3
405,GOOD NIGHT SONNY,Manhattan,1 AVENUE,10009,9173328432,American,40.72766952,-73.98521818,4
406,GORDOS CANTINA,Brooklyn,SAINT NICHOLAS AVENUE,11237,9179479208,Mexican,40.70504584,-73.91746712,1
407,GRAB AND GO,Manhattan,WEST   47 STREET,10036,6462610405,Jewish/Kosher,40.75702662,-73.97947966,1
408,GRAND ASTORIA FAMILY PIZZA,Queens,DITMARS BLVD,11105,9178212766,Pizza,40.78068305,-73.91714552,3
409,GRAND PANDA,Brooklyn,GLENWOOD ROAD,11236,7182578889,Chinese,40.64856651,-73.8970648,4
410,GRILL 66,Queens,88TH ST,11385,7188093804,American,40.70769123,-73.86252023,3
411,GRILL HILL,Bronx,EAST GUN HILL ROAD,10467,9084348295,Middle Eastern,40.88010497,-73.87649,3
412,GRILL POINT,Queens,MAIN STREET,11367,7182617077,Jewish/Kosher,40.72992802,-73.82343463,2
413,GYRO KING,Bronx,WALTON AVENUE,10468,7189336664,Greek,40.86198566,-73.9005654,1
414,GYRO KING,Brooklyn,3 AVENUE,11209,7188331500,Middle Eastern,40.632009,-74.02757561,5
415,GYRO QILA,Queens,CROSSBAY BLVD,11417,7184271387,Chicken,40.68017665,-73.84458989,4
416,GYRO WORLD,Queens,NORTHERN BOULEVARD,11358,7184283800,Mediterranean,40.75791284,-73.78733981,2
417,GYRO WORLD,Queens,30TH AVE,11103,7182784976,Mediterranean,40.7649447,-73.91726264,4
418,HA NOI,Brooklyn,9 STREET,11215,7187887755,Southeast Asian,40.66668009,-73.98118372,3
419,HAAB,Brooklyn,LEONARD STREET,11206,7183884261,Mexican,40.71097835,-73.94716746,2
420,HAAT BAZAAR,Queens,73RD ST,11372,7182058588,Bangladeshi,40.74847495,-73.89262945,3
421,HABIBI HALAL GYRO,Brooklyn,AVENUE U,11234,7187552022,Mediterranean,40.60998646,-73.92222753,2
422,HAHM JI BACH,Queens,149 PLACE,11354,6466102622,Korean,40.76312388,-73.81513378,2
423,HAIDILAO HOT POT,Queens,39TH AVE,11354,9172318888,Korean,40.76104002,-73.82708436,1
424,HAINAN,Queens,162ND ST,11358,9175637223,Korean,40.76103566,-73.80388428,4
425,HALAL BOYZ,Queens,HORACE HARDING EXPY,11365,9293622277,Middle Eastern,40.73944682,-73.79075138,3
426,HALAL GYRO MANIA,Brooklyn,BATH AVENUE,11214,7186762262,Mediterranean,40.59896509,-73.99793304,5
427,"HALL , ODO",Manhattan,WEST   20 STREET,10011,9175797290,Japanese,40.7400326,-73.99179036,1
428,HALYARDS,Brooklyn,3 AVENUE,11215,7185328787,American,40.67317805,-73.98959596,2
429,HAMPTON NY -JFK,Queens,135TH AVE,11436,7183227500,American,40.66826752,-73.79589963,1
430,HANCO'S,Brooklyn,7 AVENUE,11215,7184998081,Southeast Asian,40.66620266,-73.98216432,2
431,HANGAR 11 BAR & GRILL,Queens,METROPOLITAN AVENUE,11415,7184418100,American,40.70605229,-73.83143667,1
432,HANSHI BAOZI,Queens,BOWNE ST,11354,9176871789,Chinese,40.76077785,-73.82434162,4
433,HANSHIK,Manhattan,8 AVENUE,10011,6468485130,Korean,40.74355442,-73.99975821,0
434,HAPPY LAMB,Queens,37TH AVE,11354,7187628881,Chinese,40.76197387,-73.82933807,3
435,HARBOR INN SPORTS BAR,Queens,DRY HARBOR RD,11379,6466435140,Bottled Beverages,40.71838003,-73.87259538,4
436,HARISSA GRILL,Queens,47TH AVE,11101,6464797655,Mediterranean,40.74316085,-73.93656804,2
437,HIBACHI KING,Brooklyn,LAWRENCE STREET,11201,7188555281,Japanese,40.69181747,-73.98630075,1
438,HIBACHI STATION,Queens,37TH AVE,11372,6466332522,Japanese,40.7498518,-73.88316036,4
439,HIBINO,Brooklyn,HENRY STREET,11201,7182608052,Japanese,40.69024823,-73.99646258,0
440,HIGH THAI,Brooklyn,AVENUE U,11234,7183389700,Thai,40.60846472,-73.92464231,1
441,HING WONG,Brooklyn,5 AVENUE,11209,7187486688,Chinese,40.62628419,-74.02395636,3
442,HO WAH CHINA WOK INC,Queens,JAMAICA AVE,11423,7182170998,Other,40.71327812,-73.76522279,1
443,HO'BRAH,Brooklyn,3 AVENUE,11209,7186808226,Mexican,40.62325222,-74.03115266,2
444,HONG KONG,Queens,FOREST AVE,11385,7186280888,Chinese,40.71095406,-73.90517414,2
445,HONG KONG STATION,Manhattan,WEST   47 STREET,10036,6464298277,Chinese,40.75867135,-73.98334147,1
446,HOT POT,Queens,MERRICK BOULEVARD,11413,7185253201,Caribbean,40.67662651,-73.74199059,5
447,HOT POT 828,Brooklyn,64 STREET,11220,7188331388,Chinese,40.63275561,-74.01114349,1
448,HOWARD JOHNSON LIC,Queens,12TH ST,11101,7187521888,Continental,40.75771331,-73.94122134,1
449,I AM KIMCHI,Queens,162ND ST,11358,9178812226,Korean,40.75573404,-73.80462546,5
450,I LAND FISH & GRILL,Brooklyn,FLATLANDS AVENUE,11236,7184446812,Caribbean,40.63511998,-73.91388614,4
451,ICON,Queens,33RD ST,11106,9178326364,American,40.76180891,-73.92332022,1
452,ICOOK,Queens,BROADWAY,11373,9295220886,Chinese,40.74317129,-73.88340309,3
453,IHAWAN,Queens,70 STREET,11377,7182051480,Filipino,40.7460813,-73.89536531,3
454,IHOP,Bronx,ALLERTON AVENUE,10467,7185150161,Pancakes/Waffles,40.86552059,-73.86293747,1
455,IHOP,Bronx,BROADWAY,10463,7186547186,Pancakes/Waffles,40.88029029,-73.90383234,3
456,IHOP,Bronx,EAST  149 STREET,10451,7186132979,Pancakes/Waffles,40.81763467,-73.92370365,5
457,IHOP,Brooklyn,RALPH AVENUE,11234,7182512262,Pancakes/Waffles,40.62598556,-73.91793271,3
458,IHOP,Brooklyn,FLUSHING AVENUE,11206,7184081368,Pancakes/Waffles,40.7009076,-73.9411526,4
459,IHOP,Brooklyn,SURF AVENUE,11224,7186767220,Pancakes/Waffles,40.57547593,-73.97848094,2
460,IHOP,Brooklyn,LIVINGSTON STREET,11201,7182224467,Pancakes/Waffles,40.68885278,-73.98373399,1
461,IHOP,Queens,NORTHERN BLVD,11354,7183535576,Pancakes/Waffles,40.76429543,-73.80980582,2
462,IHOP,Queens,26TH AVE,11360,9147040727,Pancakes/Waffles,40.77800653,-73.77824862,2
463,IL BAMBINO,Queens,31 AVENUE,11106,7186260087,Italian,40.7631083,-73.92092175,3
464,IL FALCO,Queens,44TH DR,11101,7187070009,Italian,40.74801337,-73.94693948,2
465,IL FIORISTA,Manhattan,WEST   26 STREET,10010,6464908240,Mediterranean,40.74401232,-73.9895199,0
466,IL POSTO,Brooklyn,AVENUE U,11234,7182414317,Italian,40.62132054,-73.90515428,5
467,I'MILKY,Brooklyn,NORTH    6 STREET,11249,9298880965,Not Listed/Not Applicable,40.71766669,-73.95896922,2
468,INAKA,Brooklyn,VANDERBILT AVENUE,11238,7183988168,Japanese,40.67965725,-73.96812866,0
469,INDAY,Manhattan,BROADWAY,10010,9175215012,Indian,40.74351547,-73.98907248,4
470,INTI N.Y.C.,Manhattan,10 AVENUE,10019,6465969216,Peruvian,40.76746631,-73.98974363,1
471,INWOOD PIZZA,Manhattan,SHERMAN AVENUE,10034,6463090660,Pizza,40.8649009,-73.92238019,1
472,IONA'S BAR,Brooklyn,GRAND STREET,11211,7183848300,American,40.71431874,-73.96088673,0
473,IPIZZA,Manhattan,WEST   14 STREET,10011,9172615725,Pizza,40.73873187,-74.00010465,1
474,ISLAND PROVISIONS,Queens,SPRINGFIELD BLVD,11429,9294330038,Coffee/Tea,40.71829084,-73.73531359,3
475,ISLAND ROTI SHOP,Queens,ROCKAWAY BOULEVARD,11420,7186592906,Caribbean,40.67625124,-73.81995048,5
476,ISLAND SHACK,Brooklyn,ROCKAWAY AVENUE,11212,718_213268,Caribbean,40.66432098,-73.90937508,3
477,ITALIA PIZZA,Brooklyn,KINGS HIGHWAY,11223,7183390666,Pizza,40.60504837,-73.97896835,3
478,IVY STARK,Brooklyn,WATER STREET,11201,9177437388,American,40.70329391,-73.99204736,3
479,J & C LI WAN,Queens,METROPOLITAN AVE,11379,7184170808,Chinese,40.71250528,-73.8961649,0
480,J & J HOT FOOD AND SALADS,Brooklyn,FORT HAMILTON PARKWAY,11219,7184381176,Sandwiches,40.6382457,-73.99785615,3
481,J & R PIZZA,Brooklyn,KINGS HIGHWAY,11229,7189986627,Pizza,40.61035512,-73.95438577,4
482,J & S PIZZA,Queens,MERRICK BOULEVARD,11422,7185250363,Pizza,40.67417935,-73.72825394,3
483,J AND D PIZZA,Queens,63 ROAD,11374,7182754347,Pizza,40.73239929,-73.85771342,3
484,JACK AND FANNY'S,Manhattan,2 AVENUE,10028,9172590028,American,40.77563118,-73.95338753,4
485,JACK'S PIZZA & PASTA,Queens,26 AVENUE,11360,7184235484,Pizza,40.77828456,-73.77724751,0
486,JAD JAAN,Manhattan,AUDUBON AVENUE,10032,9173883460,Thai,40.84133299,-73.9377318,2
487,JAJAJA,Manhattan,CARMINE STREET,10014,6507995693,Other,40.72974818,-74.00434412,2
488,JALISCO TACO'S,Bronx,ST ANNS AVENUE,10454,7185854148,Tex-Mex,40.80634419,-73.91778894,0
489,JALSA GRILL & GRAVY,Brooklyn,CONEY ISLAND AVENUE,11230,7185522534,Indian,40.63401683,-73.96728946,4
490,JAMAICAN FLAVORS,Queens,SPRINGFIELD BOULEVARD,11413,7189774155,Caribbean,40.67913683,-73.75394697,0
491,JAMAICAN FLAVORS,Queens,FARMERS BOULEVARD,11412,7182767661,Caribbean,40.69139083,-73.76236126,2
492,JAMAICAN FLAVORS,Queens,JAMAICA AVENUE,11432,7185262228,Caribbean,40.70523076,-73.79548305,4
493,JAMAICAN FLAVORS,Queens,165TH ST,11432,7186565688,Caribbean,40.70737001,-73.79608603,5
494,JAM'IT BISTRO,Brooklyn,COLUMBIA STREET,11231,9292980117,Caribbean,40.67945296,-74.00535754,3
495,JAMOY,Manhattan,THOMPSON STREET,10012,6465900122,American,40.72883425,-73.99931087,3
496,JANG BAK BBQ,Queens,UNION ST,11354,7189391239,Korean,40.76346235,-73.8280455,2
